Ders,Tür,Eski İngilizce,Eski Türkçe,Yeni İngilizce,Yeni Türkçe
1,sentence,I am student,ben öğrenciyim,I am a student,ben öğrenciyim
1,sentence,You are student,sen öğrencisin,You are a student,sen öğrencisin
1,sentence,Are you student?,sen öğrenci misin?,Are you a student?,sen öğrenci misin?
1,sentence,My father is farmer,babam çiftçidir,My father is a farmer,babam çiftçidir
1,sentence,Nurse is beautiful,hemşire güzeldir,The nurse is beautiful,hemşire güzeldir
1,sentence,I am late,geciktim,I am late,geç kaldım
1,sentence,You are late,geciktin,You are late,geç kaldın
1,sentence,student is good,öğrenci iyidir,The student is good,öğrenci iyidir
1,sentence,This is car,bu arabadır,This is a car,bu arabadır
1,sentence,Apple is red,elma kırmızıdır,The apple is red,elma kırmızıdır
1,sentence,Apple isn’t red,elma kırmızı değildir,The apple isn’t red,elma kırmızı değildir
1,sentence,Mouse is small,fare küçüktür,The mouse is small,fare küçüktür
1,sentence,İs mouse small?,fare küçük müdür?,Is the mouse small?,fare küçük müdür?
1,sentence,Where is key?,anahtar nerede?,Where is the key?,anahtar nerede?
1,sentence,Lamp is open,lamba açıktır,The lamp is on,lamba açıktır
1,sentence,Lamp isn’t open,lamba açık değildir,The lamp isn’t on,lamba açık değildir
1,sentence,Turkish are good people,Türkler iyi insanlardır,Turkish people are good people,Türkler iyi insanlardır
1,word,woman - women (vimın),Kadın,woman - women (wimın),Kadın
2,sentence,You are teacher,sen öğretmensin,You are a teacher,sen öğretmensin
2,sentence,Are you teacher?,sen öğretmen misin?,Are you a teacher?,sen öğretmen misin?
2,sentence,Dog is big,köpek büyüktür,The dog is big,köpek büyüktür
2,sentence,Cat is small,kedi küçüktür,The cat is small,kedi küçüktür
2,sentence,İs cat small?,kedi küçük müdür?,Is the cat small?,kedi küçük müdür?
2,sentence,I am Turkish you are american,ben Türküm sen Amerikalısın,I am Turkish; you are American,ben Türküm sen Amerikalısın
2,sentence,Are you american?,sen Amerikalı mısın?,Are you American?,sen Amerikalı mısın?
2,sentence,Doctor is in the hospital,doktor hastanededir,The doctor is in the hospital,doktor hastanededir
2,sentence,nurse is besautiful,hemşire güzeldir,The nurse is beautiful,hemşire güzeldir
2,sentence,I am tired today,bugün yoruldum,I am tired today,bugün yorgunum
2,sentence,Tarkan is famous singer,Tarkan ünlü şarkıcıdır,Tarkan is a famous singer,Tarkan ünlü şarkıcıdır
2,sentence,Car is in the garage,araba garajdadır,The car is in the garage,araba garajdadır
2,sentence,Planes are in the airport,uçaklar havalimanındadır,Planes are at the airport,uçaklar havalimanındadır
2,sentence,Are you single?,yalnız mısın?,Are you single?,bekar mısın?
2,sentence,why are you single?,neden yalnızsın?,why are you single?,neden bekarsın?
2,sentence,egg is cheap,yumurta ucuzdur,An egg is cheap,yumurta ucuzdur
2,sentence,where is egg?,yumurta nerede?,Where is the egg?,yumurta nerede?
2,sentence,My hand is small,ellerim küçüktür,My hand is small,elim küçüktür
2,sentence,My father is dentist,benim babam diş hekimidir,My father is a dentist,benim babam diş hekimidir
2,sentence,Tomato is red,domates kırmızıdır,A tomato is red,domates kırmızıdır
2,sentence,Mobile phone is expensive,cep telefonu pahalıdır,A mobile phone is expensive,cep telefonu pahalıdır
2,sentence,English is interesting language,İngilizce ilginç bir dildir,English is an interesting language,İngilizce ilginç bir dildir
2,sentence,Keys are on the door,anahtarlar kapının üzerindedir,The keys are in the door,anahtarlar kapının üzerindedir
2,sentence,İs life beautiful?,hayat güzel midir?,Is life beautiful?,hayat güzel midir?
2,sentence,bus is long,otobüs uzundur,The bus is long,otobüs uzundur
2,sentence,I am good at computer game,ben bilgisayar oyunlarında iyiyim,I am good at computer games,ben bilgisayar oyunlarında iyiyim
2,word,towel,kule,towel,havlu
2,word,Woman - women (vimın),kadın - kadınlar,woman - women (wimın),kadın - kadınlar
3,sentence,you are an important person,sen önemliş bir insansın,You are an important person,sen önemliş bir insansın
3,sentence,in front of house,evin önünde,in front of the house,evin önünde
3,sentence,oliveoil is healthy,zeytinyağı sağlıklıdır,Olive oil is healthy,zeytinyağı sağlıklıdır
3,sentence,what color is car?,araba hangi renk?,What color is the car?,araba hangi renk?
3,sentence,keys are on the door,anahtarlar kapının üzerinde,The keys are in the door,anahtarlar kapının üzerinde
3,sentence,at airport,havalimanında,at the airport,havalimanında
3,sentence,İs teacher handsome?,öğremen yakışıklı mı?,Is the teacher handsome?,öğremen yakışıklı mı?
4,sentence,İstanbul’s population,İstanbul'un nüfusu,Istanbul’s population,İstanbul'un nüfusu
4,sentence,İt is 8,bu 8 dir,It is 8,bu 8 dir
4,sentence,İn the house,evin içinde,In the house,evin içinde
4,sentence,There isn’t restroom in the house,evde dinlenme odası yok,There isn’t a restroom in the house,evde dinlenme odası yok
4,word,günler,days,days,günler
4,word,doğum günü,birthday,birthday,doğum günü
4,word,herhangi bir şey,anything,anything,herhangi bir şey
4,word,hiçbir şey,nothing,nothing,hiçbir şey
4,word,bir çok,a lot of,a lot of,bir çok
4,word,çok sayıda araba,a lot of cars,a lot of cars,çok sayıda araba
5,sentence,İn the school,okulun içinde,In the school,okulun içinde
5,sentence,İs box empty?,kutu boş mu?,Is the box empty?,kutu boş mu?
5,sentence,There isn’t Cyprus on the map,haritada Kıbrıs yok,Cyprus isn’t on the map,haritada Kıbrıs yok
5,sentence,İs car clean?,araba temiz midir?,Is the car clean?,araba temiz midir?
5,sentence,They aren’t happy,biz mutlu değiliz,They aren’t happy,onlar mutlu değil
5,sentence,İs winter cold?,kış soğuk mudur?,Is winter cold?,kış soğuk mudur?
5,sentence,İs car dirty?,araba kirli midir?,Is the car dirty?,araba kirli midir?
